Annual summary output from Biome-BGC version Paleo
ann PRCP = annual total precipitation (mm/yr)
ann Tavg = annual average air temperature (deg C)
max LAI = annual maximum value of projected leaf area index (m2/m2)
ann ET = annual total evapotranspiration (mm/yr)
ann OF = annual total outflow (mm/yr)
ann NPP = annual total net primary production (gC/m2/yr)
ann NPB = annual total net biome production (gC/m2/yr)

  year  ann PRCP  ann Tavg   max LAI    ann ET    ann OF   ann NPP   ann NBP
  2000    1751.5      26.9       4.4     700.1     696.2     227.3      46.9
  2001    1704.6      27.1       4.3     855.1     495.3     368.4     179.7
  2002    1743.8      27.5       4.3     746.6     627.2     262.3      78.1
  2003    1762.4      26.4       4.3     861.6     540.3     372.6     188.3
  2004    1936.7      26.8       4.4     806.1     746.0     302.7     119.1
  2005    1607.8      27.7       4.3     693.8     579.3     179.5      -2.9
  2006    1857.0      26.6       4.2     823.8     681.3     403.7     213.7
  2007    1810.3      26.6       4.3     744.4     694.9     343.0     159.5
  2008    1804.2      27.5       4.4     789.7     657.7     243.1      52.0
  2009    1879.2      27.2       4.4     833.5     670.3     352.9     168.0
  2010    1751.5      26.9       4.4     699.9     696.4     227.2      46.9
  2011    1704.6      27.1       4.3     854.8     495.6     368.2     179.6
  2012    1743.8      27.5       4.3     746.3     627.4     262.2      78.1
  2013    1762.4      26.4       4.3     861.3     540.5     372.4     188.3
  2014    1936.7      26.8       4.4     805.9     746.2     302.5     119.0
  2015    1607.8      27.7       4.3     693.6     579.5     179.4      -2.9
  2016    1857.0      26.6       4.2     823.6     681.5     403.4     213.5
  2017    1810.3      26.6       4.3     744.1     695.1     342.8     159.4
  2018    1804.2      27.5       4.4     789.4     657.9     243.0      51.9
  2019    1879.2      27.2       4.4     833.3     670.5     352.7     167.9
  2020    1751.5      26.9       4.4     699.7     696.6     227.0      46.8
  2021    1704.6      27.1       4.3     854.5     495.8     368.0     179.5
  2022    1743.8      27.5       4.3     746.1     627.6     262.1      78.1
  2023    1762.4      26.4       4.3     861.0     540.7     372.3     188.2
  2024    1936.7      26.8       4.4     805.7     746.4     302.3     119.0
  2025    1607.8      27.7       4.3     693.4     579.7     179.3      -2.9
  2026    1857.0      26.6       4.2     823.4     681.7     403.2     213.4
  2027    1810.3      26.6       4.3     743.9     695.3     342.6     159.3
  2028    1804.2      27.5       4.4     789.1     658.1     242.8      51.9
  2029    1879.2      27.2       4.4     833.0     670.7     352.5     167.8
  2030    1751.5      26.9       4.4     699.5     696.7     226.9      46.8
  2031    1704.6      27.1       4.3     854.2     496.1     367.8     179.4
  2032    1743.8      27.5       4.3     745.9     627.8     262.0      78.1
  2033    1762.4      26.4       4.3     860.8     541.0     372.1     188.1
  2034    1936.7      26.8       4.4     805.5     746.6     302.2     118.9
  2035    1607.8      27.7       4.3     693.2     579.9     179.2      -2.9
  2036    1857.0      26.6       4.2     823.1     681.9     402.9     213.3
  2037    1810.3      26.6       4.3     743.7     695.5     342.4     159.3
  2038    1804.2      27.5       4.4     788.9     658.3     242.6      51.8
  2039    1879.2      27.2       4.4     832.8     670.9     352.3     167.7
  2040    1751.5      26.9       4.4     699.3     696.9     226.8      46.8
  2041    1704.6      27.1       4.3     854.0     496.3     367.6     179.3
  2042    1743.8      27.5       4.3     745.7     627.9     261.9      78.1
  2043    1762.4      26.4       4.3     860.5     541.2     371.9     188.1
  2044    1936.7      26.8       4.4     805.2     746.8     302.0     118.8
  2045    1607.8      27.7       4.3     693.0     580.0     179.1      -2.9
  2046    1857.0      26.6       4.2     822.9     682.1     402.7     213.1
  2047    1810.3      26.6       4.3     743.5     695.6     342.2     159.2
  2048    1804.2      27.5       4.4     788.6     658.6     242.5      51.8
  2049    1879.2      27.2       4.4     832.6     671.1     352.1     167.6
